0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:13 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:16 +0700] "GET /ABCNews/NewsListServlet?cat=cat2 HTTP/1.1" 200 14189
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:16 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:16 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:18 +0700] "GET /ABCNews/NewsListServlet?cat=cat3 HTTP/1.1" 200 13741
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:18 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:18 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:20 +0700] "GET /ABCNews/NewsListServlet?cat=cat1 HTTP/1.1" 200 11039
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:20 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:20 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:22 +0700] "GET /ABCNews/NewsListServlet?cat=cat2 HTTP/1.1" 200 14189
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:22 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:22 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:23 +0700] "GET /ABCNews/NewsListServlet?cat=cat3 HTTP/1.1" 200 13741
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:23 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:24 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:25 +0700] "GET /ABCNews/NewsListServlet?cat=cat1 HTTP/1.1" 200 11039
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:25 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:25 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:54 +0700] "GET /ABCNews/ReporterNewsServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:54 +0700] "GET /ABCNews/login.jsp HTTP/1.1" 200 3289
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:54 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:18 +0700] "GET /ABCNews/NewsListServlet?cat=cat3 HTTP/1.1" 200 13741
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:18 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:19 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:20 +0700] "GET /ABCNews/NewsListServlet?cat=cat2 HTTP/1.1" 200 14189
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:20 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:21 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:22 +0700] "GET /ABCNews/NewsListServlet?cat=cat1 HTTP/1.1" 200 11039
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:22 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:22 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
